Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/15 15:26:10 15.17 298.00 0
2025/1/15 15:26:10 15.21 299.00 0
2025/1/15 15:26:10 15.27 300.00 0
2025/1/15 15:26:10 15.17 300.00 0
2025/1/15 15:26:11 15.29 300.00 0
2025/1/15 15:26:11 15.15 300.00 0
2025/1/15 15:26:11 15.23 301.00 0
2025/1/15 15:26:11 15.15 301.00 0
2025/1/15 15:26:12 15.23 295.00 0
2025/1/15 15:26:12 15.31 301.00 0
2025/1/15 15:26:12 15.15 300.00 0
2025/1/15 15:26:12 15.15 297.00 0
2025/1/15 15:26:13 15.21 300.00 0
2025/1/15 15:26:13 15.11 298.00 0
